Date|SR
2012-06-18|128
2012-06-19|276
2012-06-20|343
2012-06-21|330
2012-06-22|346
2012-06-23|301
2012-06-24|328
2012-06-25|211
2012-06-26|177
2012-06-27|143
2012-06-28|178
2012-06-29|143
2012-06-30|297
2012-07-01|301
2012-07-02|290
2012-07-03|309
2012-07-04|247
2012-07-05|258
2012-07-06|284
2012-07-07|204
2012-07-08|240
2012-07-09|170
2012-07-10|278
2012-07-11|244
2012-07-12|321
2012-07-13|325
2012-07-14|263
2012-07-15|86
2012-07-16|222
2012-07-17|133
2012-07-18|101
2012-07-19|124
2012-07-20|304
2012-07-21|157
2012-07-22|82
2012-07-23|275
2012-07-24|262
2012-07-25|131
2012-07-26|137
2012-07-27|181
2012-07-28|199
2012-07-29|212
2012-07-30|222
2012-07-31|169
2012-08-01|122
2012-08-02|180
2012-08-03|79
2012-08-04|113
2012-08-05|120
2012-08-06|214
2012-08-07|39
2012-08-08|147
2012-08-09|166
2012-08-10|110
2012-08-11|42
2012-08-12|71
2012-08-13|211
2012-08-14|223
2012-08-15|155
2012-08-16|73
2012-08-17|88
2012-08-18|108
2012-08-19|151
2012-08-20|135
2012-08-21|191
2012-08-22|107
2012-08-23|174
2012-08-24|112
2012-08-25|126
2012-08-26|144
2012-08-27|116
2012-08-28|58
2012-08-29|49
2012-08-30|81
2012-08-31|66
2012-09-01|73
2012-09-02|59
2012-09-03|65
2012-09-04|54
2012-09-05|97
2012-09-06|90
2012-09-07|53
2012-09-08|63
2012-09-09|86
2012-09-10|56
2012-09-11|73
2012-09-12|61
2012-09-13|71
2012-09-14|55
2012-09-15|71
2012-09-16|71
2012-09-17|23
2012-09-18|93
2012-09-19|87
2012-09-20|85
2012-09-21|103
2012-09-22|22
2012-09-23|29
2012-09-24|38
2012-09-25|53
2012-09-26|79
2012-09-27|42
2012-09-28|20
2012-09-29|53
2012-09-30|23
2012-09-30|-99.9
2012-10-01|33
2012-10-02|48
2012-10-03|54
2012-10-04|33
2012-10-05|39
2012-10-06|34
2012-10-07|31
2012-10-08|19
2012-10-09|25
2012-10-10|20
2012-10-11|34
2012-10-12|21
2012-10-13|32
2012-10-14|25
2012-10-15|47
2012-10-16|17
2012-10-17|22
2012-10-18|15
2012-10-19|21
2012-10-20|18
2012-10-21|32
2012-10-22|29
2012-10-23|32
2012-10-24|10
2012-10-25|14
2012-10-26|8
2012-10-27|11
2012-10-28|8
2012-10-29|12
2012-10-30|9
2012-10-31|7
2012-11-01|7
2012-11-02|7
2012-11-03|6
2012-11-04|9
2012-11-05|13
2012-11-06|8
2012-11-07|9
2012-11-08|4
2012-11-09|5
2012-11-10|3
2012-11-11|2
2012-11-12|2
2012-11-13|3
2012-11-14|2
2012-11-15|2
2012-11-16|1
2012-11-17|1
2012-11-18|1
2012-11-19|1
2012-11-20|1
2012-11-21|1
2012-11-22|0
2012-11-23|0
2012-11-24|0
2012-11-25|0
2012-11-26|0
2012-11-27|0
2012-11-28|0
2012-11-29|0
2012-11-30|0
2012-12-01|0
2012-12-02|0
2012-12-03|0
2012-12-04|0
2012-12-05|0
2012-12-06|0
2012-12-07|0
2012-12-08|0
2012-12-09|0
2012-12-10|0
2012-12-11|0
2012-12-12|0
2012-12-13|0
2012-12-14|0
2012-12-15|0
2012-12-16|0
2012-12-17|0
2012-12-18|0
2012-12-19|0
2012-12-20|0
2012-12-21|0
2012-12-22|0
2012-12-23|0
2012-12-24|0
2012-12-25|0
2012-12-26|0
2012-12-27|0
2012-12-28|0
2012-12-29|0
2012-12-30|0
2012-12-31|0
2013-01-01|0
2013-01-02|0
2013-01-03|0
2013-01-04|0
2013-01-05|0
2013-01-06|0
2013-01-07|0
2013-01-08|0
2013-01-09|0
2013-01-10|0
2013-01-11|0
2013-01-12|0
2013-01-13|0
2013-01-14|0
2013-01-15|0
2013-01-16|0
2013-01-17|0
2013-01-18|1
2013-01-19|0
2013-01-20|1
2013-01-21|0
2013-01-22|1
2013-01-23|1
2013-01-24|1
2013-01-25|1
2013-01-26|1
2013-01-27|2
2013-01-28|2
2013-01-29|3
2013-01-30|9
2013-01-31|3
2013-02-01|3
2013-02-02|4
2013-02-03|4
2013-02-04|3
2013-02-05|5
2013-02-06|12
2013-02-07|13
2013-02-08|17
2013-02-09|6
2013-02-10|15
2013-02-11|16
2013-02-12|8
2013-02-13|18
2013-02-14|31
2013-02-15|8
2013-02-16|9
2013-02-17|10
2013-02-18|29
2013-02-19|47
2013-02-20|41
2013-02-21|28
2013-02-22|20
2013-02-23|19
2013-02-24|20
2013-02-25|25
2013-02-26|34
2013-02-27|33
2013-02-28|52
2013-03-01|26
2013-03-02|24
2013-03-03|55
2013-03-04|61
2013-03-05|45
2013-03-06|66
2013-03-07|56
2013-03-08|51
2013-03-09|57
2013-03-10|52
2013-03-11|38
2013-03-12|40
2013-03-13|38
2013-03-14|46
2013-03-15|76
2013-03-16|91
2013-03-17|90
2013-03-18|93
2013-03-19|80
2013-03-20|73
2013-03-21|65
2013-03-22|92
2013-03-23|114
2013-03-24|85
2013-03-25|115
2013-03-26|84
2013-03-27|83
2013-03-28|98
2013-03-29|136
2013-03-30|142
2013-03-31|139
2013-04-01|130
2013-04-02|119
2013-04-03|152
2013-04-04|158
2013-04-05|159
2013-04-06|154
2013-04-07|150
2013-04-08|171
2013-04-09|174
2013-04-10|133
2013-04-11|127
2013-04-12|175
2013-04-13|189
2013-04-14|179
2013-04-15|192
2013-04-16|197
2013-04-17|204
2013-04-18|205
2013-04-19|204
2013-04-20|211
2013-04-21|189
2013-04-22|208
2013-04-23|174
2013-04-24|209
2013-04-25|217
2013-04-26|182
2013-04-27|192
2013-04-28|222
2013-04-29|182
2013-04-30|230
2013-05-01|261
2013-05-02|243
2013-05-03|238
2013-05-04|243
2013-05-05|251
2013-05-06|262
2013-05-07|259
2013-05-08|278
2013-05-09|216
2013-05-10|250
2013-05-11|288
2013-05-12|242
2013-05-13|185
2013-05-14|287
2013-05-15|245
2013-05-16|295
2013-05-17|278
2013-05-18|236
2013-05-19|292
2013-05-20|325
2013-05-21|283
2013-05-22|291
2013-05-23|293
2013-05-24|244
2013-05-25|252
2013-05-26|305
2013-05-27|303
2013-05-28|168
2013-05-29|200
2013-05-30|294
2013-05-31|230
2013-06-01|212
2013-06-02|274
2013-06-03|326
2013-06-04|99
2013-06-05|176
2013-06-06|177
2013-06-07|223
2013-06-08|261
2013-06-09|258
2013-06-10|196
2013-06-11|224
2013-06-12|213
2013-06-13|339
2013-06-14|329
2013-06-15|311
2013-06-16|98
2013-06-17|146
2013-06-18|315
2013-06-19|355
2013-06-20|350
2013-06-21|342
2013-06-22|260
2013-06-23|137
2013-06-24|313
2013-06-25|123
2013-06-26|136
2013-06-27|318
2013-06-28|130
2013-06-29|192
2013-06-30|214
2013-07-01|205
2013-07-02|188
2013-07-03|98
2013-07-04|254
2013-07-05|212
2013-07-06|209
2013-07-07|323
2013-07-08|330
2013-07-09|109
2013-07-10|159
2013-07-11|259
2013-07-12|308
2013-07-13|292
2013-07-14|324
2013-07-15|316
2013-07-16|214
2013-07-17|253
2013-07-18|240
2013-07-19|364
2013-07-20|209
2013-07-21|206
2013-07-22|272
2013-07-23|131
2013-07-24|42
2013-07-25|108
2013-07-26|80
