1177	2023-01-01		0.13
1177	2023-01-02		0.06
1177	2023-01-03		0.12
1177	2023-01-04		0.09
1177	2023-01-05		0.19
1177	2023-01-06		0.14
1177	2023-01-07		0.14
1177	2023-01-08		0.15
1177	2023-01-09		0.19
1177	2023-01-10		0.18
1177	2023-01-11		0.17
1177	2023-01-12		0.24
1177	2023-01-13		0.21
1177	2023-01-14		0.40
1177	2023-01-15		0.40
1177	2023-01-16		0.50
1177	2023-01-17		0.39
1177	2023-01-18		0.60
1177	2023-01-19		0.80
1177	2023-01-20		0.74
1177	2023-01-21		0.98
1177	2023-01-22		0.74
1177	2023-01-23		1.23
1177	2023-01-24		1.60
1177	2023-01-25		1.92
1177	2023-01-26		1.34
1177	2023-01-27		1.70
1177	2023-01-28		3.52
1177	2023-01-29		2.25
1177	2023-01-30		2.38
1177	2023-01-31		5.91
1177	2023-02-01		4.80
1177	2023-02-02		8.25
1177	2023-02-03		9.55
1177	2023-02-04		5.17
1177	2023-02-05		4.72
1177	2023-02-06		5.85
1177	2023-02-07		3.94
1177	2023-02-08		4.52
1177	2023-02-09		4.23
1177	2023-02-10		6.54
1177	2023-02-11		4.96
1177	2023-02-12		8.37
1177	2023-02-13		8.22
1177	2023-02-14		7.84
1177	2023-02-15		8.24
1177	2023-02-16		12.33
1177	2023-02-17		13.40
1177	2023-02-18		13.90
1177	2023-02-19		14.11
1177	2023-02-20		12.54
1177	2023-02-21		16.97
1177	2023-02-22		23.80
1177	2023-02-23		25.74
1177	2023-02-24		27.33
1177	2023-02-25		29.43
1177	2023-02-26		40.86
1177	2023-02-27		31.71
1177	2023-02-28		36.56
1177	2023-03-01		55.85
1177	2023-03-02		44.59
1177	2023-03-03		44.09
1177	2023-03-04		57.08
1177	2023-03-05		64.99
1177	2023-03-06		51.03
1177	2023-03-07		57.96
1177	2023-03-08		56.76
1177	2023-03-09		48.75
1177	2023-03-10		74.26
1177	2023-03-11		77.38
1177	2023-03-12		71.02
1177	2023-03-13		83.30
1177	2023-03-14		87.10
1177	2023-03-15		100.70
1177	2023-03-16		108.30
1177	2023-03-17		112.00
1177	2023-03-18		117.90
1177	2023-03-19		109.80
1177	2023-03-20		107.40
1177	2023-03-21		116.90
1177	2023-03-22		127.30
1177	2023-03-23		138.90
1177	2023-03-24		107.30
1177	2023-03-25		142.90
1177	2023-03-26		148.10
1177	2023-03-27		78.38
1177	2023-03-28		117.10
1177	2023-03-29		156.90
1177	2023-03-30		170.70
1177	2023-03-31		174.20
1177	2023-04-01		156.80
1177	2023-04-02		180.20
1177	2023-04-03		154.30
1177	2023-04-04		161.30
1177	2023-04-05		187.50
1177	2023-04-06		197.00
1177	2023-04-07		202.30
1177	2023-04-08		200.20
1177	2023-04-09		221.00
1177	2023-04-10		165.30
1177	2023-04-11		167.80
1177	2023-04-12		234.80
1177	2023-04-13		233.50
1177	2023-04-14		242.60
1177	2023-04-15		244.90
1177	2023-04-16		204.20
1177	2023-04-17		242.90
1177	2023-04-18		246.60
1177	2023-04-19		263.40
1177	2023-04-20		260.70
1177	2023-04-21		209.70
1177	2023-04-22		228.10
1177	2023-04-23		291.70
1177	2023-04-24		284.80
1177	2023-04-25		219.00
1177	2023-04-26		275.00
1177	2023-04-27		257.20
1177	2023-04-28		263.80
1177	2023-04-29		306.50
1177	2023-04-30		312.40
1177	2023-05-01		267.00
1177	2023-05-02		256.00
1177	2023-05-03		229.60
1177	2023-05-04		276.10
1177	2023-05-05		302.00
1177	2023-05-06		287.30
1177	2023-05-07		265.60
1177	2023-05-08		293.20
1177	2023-05-09		269.50
1177	2023-05-10		265.80
